characteristic,mode,model,classifier,mean_acc,ci_lo,ci_hi
sex,content,Llama-3.1-8B-Instruct,logistic,53.88,51.18,56.58
sex,content,Llama-3.1-8B-Instruct,mlp,52.92,50.32,55.52
sex,content,Llama-3.1-8B-Instruct,xgboost,55.56,52.36,58.76
sex,stopwords,Llama-3.1-8B-Instruct,logistic,52.72,51.35,54.09
sex,stopwords,Llama-3.1-8B-Instruct,mlp,49.92,46.67,53.17
sex,stopwords,Llama-3.1-8B-Instruct,xgboost,49.72,47.27,52.17
race_ethnicity,content,Llama-3.1-8B-Instruct,logistic,17.6,16.02,19.18
race_ethnicity,content,Llama-3.1-8B-Instruct,mlp,17.88,16.58,19.18
race_ethnicity,content,Llama-3.1-8B-Instruct,xgboost,17.92,16.87,18.97
race_ethnicity,stopwords,Llama-3.1-8B-Instruct,logistic,16.12,14.0,18.24
race_ethnicity,stopwords,Llama-3.1-8B-Instruct,mlp,16.68,15.83,17.53
race_ethnicity,stopwords,Llama-3.1-8B-Instruct,xgboost,14.88,12.84,16.92
patron_type,content,Llama-3.1-8B-Instruct,logistic,25.92,23.29,28.55
patron_type,content,Llama-3.1-8B-Instruct,mlp,25.88,22.08,29.68
patron_type,content,Llama-3.1-8B-Instruct,xgboost,31.68,28.59,34.77
patron_type,stopwords,Llama-3.1-8B-Instruct,logistic,26.32,25.52,27.12
patron_type,stopwords,Llama-3.1-8B-Instruct,mlp,22.84,19.1,26.58
patron_type,stopwords,Llama-3.1-8B-Instruct,xgboost,26.68,25.9,27.46
sex,content,Ministral-8B-Instruct-2410,logistic,51.52,49.71,53.33
sex,content,Ministral-8B-Instruct-2410,mlp,50.8,47.87,53.73
sex,content,Ministral-8B-Instruct-2410,xgboost,50.08,48.91,51.25
sex,stopwords,Ministral-8B-Instruct-2410,logistic,50.2,48.19,52.21
sex,stopwords,Ministral-8B-Instruct-2410,mlp,50.08,47.98,52.18
sex,stopwords,Ministral-8B-Instruct-2410,xgboost,50.68,47.77,53.59
race_ethnicity,content,Ministral-8B-Instruct-2410,logistic,18.12,16.75,19.49
race_ethnicity,content,Ministral-8B-Instruct-2410,mlp,16.88,14.23,19.53
race_ethnicity,content,Ministral-8B-Instruct-2410,xgboost,16.44,15.1,17.78
race_ethnicity,stopwords,Ministral-8B-Instruct-2410,logistic,17.76,15.75,19.77
race_ethnicity,stopwords,Ministral-8B-Instruct-2410,mlp,17.4,16.2,18.6
race_ethnicity,stopwords,Ministral-8B-Instruct-2410,xgboost,17.84,16.99,18.69
patron_type,content,Ministral-8B-Instruct-2410,logistic,20.08,18.38,21.78
patron_type,content,Ministral-8B-Instruct-2410,mlp,18.56,14.07,23.05
patron_type,content,Ministral-8B-Instruct-2410,xgboost,22.84,19.77,25.91
patron_type,stopwords,Ministral-8B-Instruct-2410,logistic,19.76,17.42,22.1
patron_type,stopwords,Ministral-8B-Instruct-2410,mlp,17.08,14.48,19.68
patron_type,stopwords,Ministral-8B-Instruct-2410,xgboost,20.0,17.69,22.31
sex,content,gemma-2-9b-it,logistic,60.88,57.52,64.24
sex,content,gemma-2-9b-it,mlp,60.4,58.21,62.59
sex,content,gemma-2-9b-it,xgboost,61.08,57.44,64.72
sex,stopwords,gemma-2-9b-it,logistic,50.24,46.7,53.78
sex,stopwords,gemma-2-9b-it,mlp,50.4,48.46,52.34
sex,stopwords,gemma-2-9b-it,xgboost,52.32,49.73,54.91
race_ethnicity,content,gemma-2-9b-it,logistic,17.28,14.29,20.27
race_ethnicity,content,gemma-2-9b-it,mlp,16.68,15.38,17.98
race_ethnicity,content,gemma-2-9b-it,xgboost,17.68,15.97,19.39
race_ethnicity,stopwords,gemma-2-9b-it,logistic,16.52,13.76,19.28
race_ethnicity,stopwords,gemma-2-9b-it,mlp,16.88,16.06,17.7
race_ethnicity,stopwords,gemma-2-9b-it,xgboost,17.88,16.4,19.36
patron_type,content,gemma-2-9b-it,logistic,30.64,27.4,33.88
patron_type,content,gemma-2-9b-it,mlp,31.4,29.19,33.61
patron_type,content,gemma-2-9b-it,xgboost,33.04,29.94,36.14
patron_type,stopwords,gemma-2-9b-it,logistic,24.16,22.04,26.28
patron_type,stopwords,gemma-2-9b-it,mlp,21.76,20.14,23.38
patron_type,stopwords,gemma-2-9b-it,xgboost,26.16,24.45,27.87
